,country.code,country.name,year,patent.res,GDP,patent.non
11,ARG,Argentina,2007,937,7193.61764,4806
12,ARG,Argentina,2008,801,8953.359275,4781
13,ARG,Argentina,2009,640,8161.306966,4336
14,ARG,Argentina,2010,552,10276.2605,4165
15,ARG,Argentina,2011,688,12726.90836,4133
16,ARG,Argentina,2012,735,12969.70712,4078
17,ARG,Argentina,2013,643,12976.63642,4129
18,ARG,Argentina,2014,509,12245.25645,4173
19,ARG,Argentina,2015,546,13467.10236,3579
20,ARG,Argentina,2016,884,12440.32098,2925
21,ARM,Armenia,2007,135,3138.808703,5
22,ARM,Armenia,2008,226,4010.026997,4
23,ARM,Armenia,2009,116,2993.832531,11
24,ARM,Armenia,2010,136,3218.381655,6
25,ARM,Armenia,2011,121,3526.978143,19
26,ARM,Armenia,2012,137,3684.80481,4
27,ARM,Armenia,2013,125,3843.591213,6
28,ARM,Armenia,2014,121,3994.712355,2
29,ARM,Armenia,2015,113,3617.935746,2
30,ARM,Armenia,2016,125,3614.688357,1
31,AUS,Australia,2007,2718,40991.98289,24122
32,AUS,Australia,2008,2821,49664.68504,23525
33,AUS,Australia,2009,2494,42742.99898,21187
34,AUS,Australia,2010,2409,51874.08048,22478
35,AUS,Australia,2011,2383,62245.10029,23143
36,AUS,Australia,2012,2627,67635.31555,23731
37,AUS,Australia,2013,3061,67708.68929,26656
38,AUS,Australia,2014,1988,62099.61441,23968
39,AUS,Australia,2015,2291,56408.34043,26314
40,AUS,Australia,2016,2620,49755.31548,25774
41,AUT,Austria,2007,2385,46855.77175,287
42,AUT,Austria,2008,2298,51708.76575,329
43,AUT,Austria,2009,2263,47963.1794,292
44,AUT,Austria,2010,2424,46858.04327,249
45,AUT,Austria,2011,2154,51374.95841,276
46,AUT,Austria,2012,2258,48567.69529,294
47,AUT,Austria,2013,2162,50719.38828,244
48,AUT,Austria,2014,2092,51733.48192,271
49,AUT,Austria,2015,2205,44255.58336,236
50,AUT,Austria,2016,2078,44757.6349,237
51,AZE,Azerbaijan,2007,287,3851.437869,8
52,AZE,Azerbaijan,2008,226,5574.603802,7
53,AZE,Azerbaijan,2009,264,4950.294791,17
54,AZE,Azerbaijan,2010,254,5842.805784,17
55,AZE,Azerbaijan,2011,193,7189.691229,12
56,AZE,Azerbaijan,2012,144,7496.335728,NA
57,AZE,Azerbaijan,2013,156,7875.756953,NA
